,PassengerId,Survived,SibSp,Parch,Cabin_NO,Cabin_YES,Embarked_C,Embarked_Q,Embarked_S,Sex_female,Sex_male,Pclass_1,Pclass_2,Pclass_3,Age_scaled,Fare_scaled
349,350,0,0,0,1,0,0,0,1,0,1,0,0,1,0.8473829026749384,-0.49226738188756664
350,351,0,0,0,1,0,0,0,1,0,1,0,0,1,-0.4614886635159376,-0.48163046373547264
352,353,0,1,1,1,0,1,0,0,0,1,0,0,1,-1.0125924808594644,-0.519371194842938
353,354,0,1,0,1,0,0,0,1,0,1,0,0,1,-0.3237127091800559,-0.3194765559057727
355,356,0,0,0,1,0,0,0,1,0,1,0,0,1,-0.11704877767623337,-0.47643019263889336
356,357,1,0,1,0,1,0,0,1,1,0,1,0,0,-0.5303766406838785,0.3839782978860451
357,358,0,0,0,1,0,0,0,1,1,0,0,1,0,0.571830994003175,-0.410244924136975
360,361,0,1,4,1,0,0,0,1,0,1,0,0,1,0.7096069483390568,-0.12848478108595124
361,362,0,1,0,1,0,1,0,0,0,1,0,1,0,-0.04816080050829252,-0.1318734668332494
362,363,0,0,1,1,0,1,0,0,1,0,0,0,1,1.054046834178761,-0.3827458905782637
363,364,0,0,0,1,0,0,0,1,0,1,0,0,1,0.36516706249935255,-0.5227598805902361
365,366,0,0,0,1,0,0,0,1,0,1,0,0,1,0.020727176659648322,-0.5189778652472694
366,367,1,1,0,0,1,1,0,0,1,0,1,0,0,2.087366491697874,0.7669073513614297
369,370,1,0,0,0,1,1,0,0,1,0,1,0,0,-0.3926006863479967,0.6543923949081686
370,371,1,1,0,0,1,1,0,0,0,1,1,0,0,-0.3237127091800559,0.39233087877098716
371,372,0,1,0,1,0,0,0,1,0,1,0,0,1,-0.8059285493556418,-0.5332398451055971
372,373,0,0,0,1,0,0,0,1,0,1,0,0,1,-0.7370405721877009,-0.5038498038754023
373,374,0,0,0,1,0,1,0,0,0,1,1,0,0,-0.5303766406838785,1.908760186656254
374,375,0,3,1,1,0,0,0,1,1,0,0,0,1,-1.8392482068747544,-0.257546054664692
376,377,1,0,0,1,0,0,0,1,1,0,0,0,1,-0.5303766406838785,-0.5189778652472694
377,378,0,0,2,0,1,1,0,0,0,1,1,0,0,-0.1859367548441742,3.343405303757537
378,379,0,0,0,1,0,1,0,0,0,1,0,0,1,-0.6681525950197601,-0.5801992386115439
379,380,0,0,0,1,0,0,0,1,0,1,0,0,1,-0.7370405721877009,-0.5090500749719817
380,381,1,0,0,1,0,1,0,0,1,0,1,0,0,0.8473829026749384,3.6464392831127483
381,382,1,0,2,1,0,1,0,0,1,0,0,0,1,-1.977024161210636,-0.3583991668079151
382,383,0,0,0,1,0,0,0,1,0,1,0,0,1,0.15850313099553,-0.5062135634647565
383,384,1,1,0,1,0,0,0,1,1,0,1,0,0,0.36516706249935255,0.32724806774154364
385,386,0,0,0,1,0,0,0,1,0,1,0,1,0,-0.8059285493556418,0.7338147171104706
386,387,0,5,2,1,0,0,0,1,0,1,0,0,1,-1.977024161210636,0.2308066764958912
387,388,1,0,0,1,0,0,0,1,1,0,0,1,0,0.43405503966729336,-0.410244924136975
389,390,1,0,0,1,0,1,0,0,1,0,0,1,0,-0.8748165265235827,-0.4291550008518088
390,391,1,1,2,0,1,0,0,1,0,1,1,0,0,0.43405503966729336,1.6131332843502428
391,392,1,0,0,1,0,0,0,1,0,1,0,0,1,-0.5992646178518193,-0.5086567453763131
392,393,0,2,0,1,0,0,0,1,0,1,0,0,1,-0.11704877767623337,-0.5062135634647565
393,394,1,1,0,0,1,1,0,0,1,0,1,0,0,-0.4614886635159376,1.4859630184429855
394,395,1,0,2,0,1,0,0,1,1,0,0,0,1,-0.3926006863479967,-0.3402776402920899
395,396,0,0,0,1,0,0,0,1,0,1,0,0,1,-0.5303766406838785,-0.5086567453763131
396,397,0,0,0,1,0,0,0,1,1,0,0,0,1,0.08961515382758917,-0.5075523968961668
397,398,0,0,0,1,0,0,0,1,0,1,0,1,0,1.122934811346702,-0.16441392684413544
398,399,0,0,0,1,0,0,0,1,0,1,0,1,0,-0.4614886635159376,-0.4575201159240595
399,400,1,0,0,1,0,0,0,1,1,0,0,1,0,-0.11704877767623337,-0.4168634509871669
400,401,1,0,0,1,0,0,0,1,0,1,0,0,1,0.6407189711711159,-0.5062135634647565
401,402,0,0,0,1,0,0,0,1,0,1,0,0,1,-0.25482473201211503,-0.5038498038754023
402,403,0,1,0,1,0,0,0,1,1,0,0,0,1,-0.5992646178518193,-0.47028441770657237
403,404,0,1,0,1,0,0,0,1,0,1,0,0,1,-0.11704877767623337,-0.3563512054996986
404,405,0,0,0,1,0,0,0,1,1,0,0,0,1,-0.6681525950197601,-0.49226738188756664
405,406,0,1,0,1,0,0,0,1,0,1,0,1,0,0.2962790853314117,-0.2589643104183045
406,407,0,0,0,1,0,0,0,1,0,1,0,0,1,1.4673746971864061,-0.5095228268898525
407,408,1,1,1,1,0,0,0,1,0,1,0,1,0,-1.8392482068747544,-0.3015119830266806
408,409,0,0,0,1,0,0,0,1,0,1,0,0,1,-0.5992646178518193,-0.5090500749719817
412,413,1,1,0,0,1,0,1,0,1,0,1,0,0,0.22739110816347086,1.0458309829052286
414,415,1,0,0,1,0,0,0,1,0,1,0,0,1,0.9851588570108202,-0.5062135634647565
416,417,1,1,1,1,0,0,0,1,1,0,0,1,0,0.2962790853314117,-0.04149842819771567
417,418,1,0,2,1,0,0,0,1,1,0,0,1,0,-0.8059285493556418,-0.410244924136975
418,419,0,0,0,1,0,0,0,1,0,1,0,1,0,0.020727176659648322,-0.410244924136975
419,420,0,0,2,1,0,0,0,1,1,0,0,0,1,-1.3570323666991686,-0.19939756876657802
421,422,0,0,0,1,0,0,1,0,0,1,0,0,1,-0.5992646178518193,-0.5098386251709902
422,423,0,0,0,1,0,0,0,1,0,1,0,0,1,-0.04816080050829252,-0.5071590673004983
423,424,0,1,1,1,0,0,0,1,1,0,0,0,1,-0.11704877767623337,-0.38377081673620766
424,425,0,1,1,1,0,0,0,1,0,1,0,0,1,-0.8059285493556418,-0.27385599583123615
426,427,1,1,0,1,0,0,0,1,1,0,0,1,0,-0.11704877767623337,-0.16441392684413544
427,428,1,0,0,1,0,0,0,1,1,0,0,1,0,-0.7370405721877009,-0.16441392684413544
429,430,1,0,0,0,1,0,0,1,0,1,0,0,1,0.15850313099553,-0.5038498038754023
430,431,1,0,0,0,1,0,0,1,0,1,1,0,0,-0.11704877767623337,-0.15401338465097683
432,433,1,1,0,1,0,0,0,1,1,0,0,1,0,0.8473829026749384,-0.16441392684413544
433,434,0,0,0,1,0,0,0,1,0,1,0,0,1,-0.8748165265235827,-0.5213416248366236
434,435,0,1,0,0,1,0,0,1,0,1,1,0,0,1.3984867200184652,0.4009973669293955
435,436,1,1,2,0,1,0,0,1,1,0,1,0,0,-1.0814804580274051,1.6131332843502428
436,437,0,2,2,1,0,0,0,1,1,0,0,0,1,-0.5992646178518193,-0.006042034357402272
437,438,1,2,3,1,0,0,0,1,1,0,0,1,0,-0.3926006863479967,-0.3015119830266806
438,439,0,1,4,0,1,0,0,1,0,1,1,0,0,2.362918400369637,4.317274254571478
439,440,0,0,0,1,0,0,0,1,0,1,0,1,0,0.08961515382758917,-0.4575201159240595
440,441,1,1,1,1,0,0,0,1,1,0,0,1,0,1.054046834178761,-0.159686407665427
441,442,0,0,0,1,0,0,0,1,0,1,0,0,1,-0.6681525950197601,-0.47643019263889336
442,443,0,1,0,1,0,0,0,1,0,1,0,0,1,-0.3237127091800559,-0.5090500749719817
443,444,1,0,0,1,0,0,0,1,1,0,0,1,0,-0.11704877767623337,-0.410244924136975
445,446,1,0,2,0,1,0,0,1,0,1,1,0,0,-1.7703602297068137,0.891870811316066
446,447,1,0,1,1,0,0,0,1,1,0,0,1,0,-1.150368435195346,-0.28732942549055523
447,448,1,0,0,1,0,0,0,1,0,1,1,0,0,0.2962790853314117,-0.15401338465097683
448,449,1,2,1,1,0,1,0,0,1,0,0,0,1,-1.7014722525388728,-0.29189999103253056
449,450,1,0,0,0,1,0,0,1,0,1,1,0,0,1.5362626743543468,-0.0793185816273833
450,451,0,1,2,1,0,0,0,1,0,1,0,1,0,0.43405503966729336,-0.13132129259317626
452,453,0,0,0,0,1,1,0,0,0,1,1,0,0,0.020727176659648322,-0.13132129259317626
453,454,1,1,0,0,1,1,0,0,0,1,1,0,0,1.3295987428505243,1.0288913361840806
455,456,1,0,0,1,0,1,0,0,0,1,0,0,1,-0.04816080050829252,-0.5067657377048297
456,457,0,0,0,0,1,0,0,1,0,1,1,0,0,2.431806377537578,-0.15401338465097683
458,459,1,0,0,1,0,0,0,1,1,0,0,1,0,1.3984867200184652,-0.4575201159240595
460,461,1,0,0,0,1,0,0,1,0,1,1,0,0,1.2607107656825836,-0.15401338465097683
461,462,0,0,0,1,0,0,0,1,0,1,0,0,1,0.2962790853314117,-0.5038498038754023
462,463,0,0,0,0,1,0,0,1,0,1,1,0,0,1.1918227885146426,0.0719620320912872
463,464,0,0,0,1,0,0,0,1,0,1,0,1,0,1.2607107656825836,-0.410244924136975
465,466,0,0,0,1,0,0,0,1,0,1,0,0,1,0.571830994003175,-0.5227598805902361
467,468,0,0,0,1,0,0,0,1,0,1,1,0,0,1.8118145830261103,-0.15401338465097683
469,470,1,2,1,1,0,1,0,0,1,0,0,0,1,-1.9942461555026214,-0.29189999103253056
471,472,0,0,0,1,0,0,0,1,0,1,0,0,1,0.571830994003175,-0.49226738188756664
472,473,1,1,2,1,0,0,0,1,1,0,0,1,0,0.22739110816347086,-0.13132129259317626
473,474,1,0,0,0,1,1,0,0,1,0,0,1,0,-0.4614886635159376,-0.3952738164018411
474,475,0,0,0,1,0,0,0,1,1,0,0,0,1,-0.5303766406838785,-0.470048041747637
476,477,0,1,0,1,0,0,0,1,0,1,0,1,0,0.2962790853314117,-0.2589643104183045
477,478,0,1,0,1,0,0,0,1,0,1,0,0,1,-0.04816080050829252,-0.5228393029124385
478,479,0,0,0,1,0,0,0,1,0,1,0,0,1,-0.5303766406838785,-0.5138570164728924
479,480,1,0,1,1,0,0,0,1,1,0,0,0,1,-1.9081361840426954,-0.4237183537962941
480,481,0,5,2,1,0,0,0,1,0,1,0,0,1,-1.4259203438671093,0.2308066764958912
482,483,0,0,0,1,0,0,0,1,0,1,0,0,1,1.3984867200184652,-0.5038498038754023
483,484,1,0,0,1,0,0,0,1,1,0,0,0,1,2.294030423201696,-0.47477556092634543
484,485,1,1,0,0,1,1,0,0,0,1,1,0,0,-0.3237127091800559,1.066238737695877
486,487,1,1,0,0,1,0,0,1,1,0,1,0,0,0.36516706249935255,1.0458309829052286
487,488,0,0,0,0,1,1,0,0,0,1,1,0,0,1.949590537361992,-0.09444664299925036
488,489,0,0,0,1,0,0,0,1,0,1,0,0,1,0.020727176659648322,-0.5038498038754023
489,490,1,1,1,1,0,0,0,1,0,1,0,0,1,-1.4259203438671093,-0.35540570166395696
491,492,0,0,0,1,0,0,0,1,0,1,0,0,1,-0.5992646178518193,-0.5189778652472694
492,493,0,0,0,0,1,0,0,1,0,1,1,0,0,1.7429266058581694,-0.0793185816273833
493,494,0,0,0,1,0,1,0,0,0,1,1,0,0,2.845134240545223,0.2800522982766614
494,495,0,0,0,1,0,0,0,1,0,1,0,0,1,-0.5992646178518193,-0.5038498038754023
496,497,1,1,0,0,1,1,0,0,1,0,1,0,0,1.6740386286902287,0.823953379787069
498,499,0,1,2,0,1,0,0,1,1,0,1,0,0,-0.3237127091800559,2.20974620470325
499,500,0,0,0,1,0,0,0,1,0,1,0,0,1,-0.3926006863479967,-0.5086567453763131
500,501,0,0,0,1,0,0,0,1,0,1,0,0,1,-0.8748165265235827,-0.49226738188756664
501,502,0,0,0,1,0,0,1,0,1,0,0,0,1,-0.5992646178518193,-0.5095228268898525
503,504,0,0,0,1,0,0,0,1,1,0,0,0,1,0.5029430168352342,-0.47477556092634543
504,505,1,0,0,0,1,0,0,1,1,0,1,0,0,-0.9437045036915235,0.9796457144033102
505,506,0,1,0,0,1,1,0,0,0,1,1,0,0,-0.8059285493556418,1.4032314328155877
506,507,1,0,2,1,0,0,0,1,1,0,0,1,0,0.22739110816347086,-0.16441392684413544
508,509,0,0,0,1,0,0,0,1,0,1,0,0,1,-0.11704877767623337,-0.23012644342818298
509,510,1,0,0,1,0,0,0,1,0,1,0,0,1,-0.25482473201211503,0.41226399063609354
510,511,1,0,0,1,0,0,1,0,0,1,0,0,1,-0.04816080050829252,-0.5095228268898525
512,513,1,0,0,0,1,0,0,1,0,1,1,0,0,0.43405503966729336,-0.1589772797886207
513,514,1,1,0,1,0,1,0,0,1,0,1,0,0,1.6740386286902287,0.46718263543131383
514,515,0,0,0,1,0,0,0,1,0,1,0,0,1,-0.3926006863479967,-0.5143297683907633
515,516,0,0,0,0,1,0,0,1,0,1,1,0,0,1.1918227885146426,-0.012739983529796384
516,517,1,0,0,0,1,0,0,1,1,0,0,1,0,0.2962790853314117,-0.4575201159240595
518,519,1,1,0,1,0,0,0,1,1,0,0,1,0,0.43405503966729336,-0.16441392684413544
519,520,0,0,0,1,0,0,0,1,0,1,0,0,1,0.15850313099553,-0.5067657377048297
520,521,1,0,0,0,1,0,0,1,1,0,1,0,0,0.020727176659648322,1.1120162514071468
521,522,0,0,0,1,0,0,0,1,0,1,0,0,1,-0.5303766406838785,-0.5067657377048297
523,524,1,0,1,0,1,1,0,0,1,0,1,0,0,0.9851588570108202,0.440315198434878
525,526,0,0,0,1,0,0,1,0,0,1,0,0,1,0.7440509369230272,-0.5095228268898525
526,527,1,0,0,1,0,0,0,1,1,0,0,1,0,1.3984867200184652,-0.4575201159240595
528,529,0,0,0,1,0,0,0,1,0,1,0,0,1,0.6407189711711159,-0.5062135634647565
529,530,0,2,1,1,0,0,0,1,0,1,0,1,0,-0.4614886635159376,-0.4386100392092257
530,531,1,1,1,1,0,0,0,1,1,0,0,1,0,-1.9081361840426954,-0.16441392684413544
532,533,0,1,1,1,0,1,0,0,0,1,0,0,1,-0.8748165265235827,-0.519371194842938
534,535,0,0,0,1,0,0,0,1,1,0,0,0,1,0.020727176659648322,-0.49226738188756664
535,536,1,0,2,1,0,0,0,1,1,0,0,1,0,-1.5636962982029912,-0.159686407665427
536,537,0,0,0,0,1,0,0,1,0,1,1,0,0,1.054046834178761,-0.15401338465097683
537,538,1,0,0,1,0,1,0,0,1,0,1,0,0,0.020727176659648322,1.3564289929463738
539,540,1,0,2,0,1,1,0,0,1,0,1,0,0,-0.5303766406838785,0.27997287595445913
540,541,1,0,2,0,1,0,0,1,1,0,1,0,0,0.43405503966729336,0.6865395253233861
541,542,0,4,2,1,0,0,0,1,1,0,0,0,1,-1.4259203438671093,-0.06466327217338712
542,543,0,4,2,1,0,0,0,1,1,0,0,0,1,-1.2881443895312277,-0.06466327217338712
543,544,1,1,0,1,0,0,0,1,0,1,0,1,0,0.15850313099553,-0.16441392684413544
544,545,0,1,0,0,1,1,0,0,0,1,1,0,0,1.3984867200184652,1.3564289929463738
545,546,0,0,0,1,0,0,0,1,0,1,1,0,0,2.362918400369637,-0.16441392684413544
546,547,1,1,0,1,0,0,0,1,1,0,0,1,0,-0.7370405721877009,-0.16441392684413544
548,549,0,1,1,1,0,0,0,1,0,1,0,0,1,0.22739110816347086,-0.2679465968578506
549,550,1,1,1,1,0,0,0,1,0,1,0,1,0,-1.4948083210350502,0.03886939784032803
550,551,1,0,2,0,1,1,0,0,0,1,1,0,0,-0.8748165265235827,1.4407357879641176
551,552,0,0,0,1,0,0,0,1,0,1,0,1,0,-0.1859367548441742,-0.16441392684413544
553,554,1,0,0,1,0,1,0,0,0,1,0,0,1,-0.5303766406838785,-0.5194506171651402
554,555,1,0,0,1,0,0,0,1,1,0,0,0,1,-0.5303766406838785,-0.5090500749719817
555,556,0,0,0,1,0,0,0,1,0,1,1,0,0,2.225142446033755,-0.15401338465097683
556,557,1,1,0,0,1,1,0,0,1,0,1,0,0,1.2607107656825836,0.09276311647760442
558,559,1,1,1,0,1,0,0,1,1,0,1,0,0,0.6407189711711159,0.8501116889066986
559,560,1,1,0,1,0,0,0,1,1,0,0,0,1,0.43405503966729336,-0.32704058659170626
561,562,0,0,0,1,0,0,0,1,0,1,0,0,1,0.7096069483390568,-0.5067657377048297
562,563,0,0,0,1,0,0,0,1,0,1,0,1,0,-0.11704877767623337,-0.4007898857795581
565,566,0,2,0,1,0,0,0,1,0,1,0,0,1,-0.3926006863479967,-0.19939756876657802
566,567,0,0,0,1,0,0,0,1,0,1,0,0,1,-0.7370405721877009,-0.5067657377048297
567,568,0,0,4,1,0,0,0,1,1,0,0,0,1,-0.04816080050829252,-0.257546054664692
569,570,1,0,0,1,0,0,0,1,0,1,0,0,1,0.15850313099553,-0.5075523968961668
570,571,1,0,0,1,0,0,0,1,0,1,0,1,0,2.225142446033755,-0.4575201159240595
571,572,1,2,0,0,1,0,0,1,1,0,1,0,0,1.6051506515222878,0.31739969978845817
572,573,1,0,0,0,1,0,0,1,0,1,1,0,0,0.43405503966729336,-0.15708627211713735
574,575,0,0,0,1,0,0,0,1,0,1,0,0,1,-0.9437045036915235,-0.5038498038754023
575,576,0,0,0,1,0,0,0,1,0,1,0,0,1,-0.7370405721877009,-0.3818798090647243
576,577,1,0,0,1,0,0,0,1,1,0,0,1,0,0.2962790853314117,-0.410244924136975
577,578,1,1,0,0,1,0,0,1,1,0,1,0,0,0.6407189711711159,0.4009973669293955
579,580,1,0,0,1,0,0,0,1,0,1,0,0,1,0.15850313099553,-0.5062135634647565
580,581,1,1,1,1,0,0,0,1,1,0,0,1,0,-0.3237127091800559,-0.0887736199848002
581,582,1,1,1,0,1,1,0,0,1,0,1,0,0,0.6407189711711159,1.4407357879641176
582,583,0,0,0,1,0,0,0,1,0,1,0,1,0,1.6740386286902287,-0.16441392684413544
583,584,0,0,0,0,1,1,0,0,0,1,1,0,0,0.43405503966729336,0.10269090675289215
585,586,1,0,2,0,1,0,0,1,1,0,1,0,0,-0.8059285493556418,0.8501116889066986
586,587,0,0,0,1,0,0,0,1,0,1,0,1,0,1.1918227885146426,-0.3724247707073074
587,588,1,1,1,0,1,1,0,0,0,1,1,0,0,2.087366491697874,0.8416021543850234
588,589,0,0,0,1,0,0,0,1,0,1,0,0,1,-0.5303766406838785,-0.5038498038754023
590,591,0,0,0,1,0,0,0,1,0,1,0,0,1,0.36516706249935255,-0.5213416248366236
591,592,1,1,0,0,1,1,0,0,1,0,1,0,0,1.5362626743543468,0.823953379787069
592,593,0,0,0,1,0,0,0,1,0,1,0,0,1,1.1918227885146426,-0.5189778652472694
594,595,0,1,0,1,0,0,0,1,0,1,0,1,0,0.5029430168352342,-0.16441392684413544
595,596,0,1,1,1,0,0,0,1,0,1,0,0,1,0.43405503966729336,-0.19939756876657802
597,598,0,0,0,1,0,0,0,1,0,1,0,0,1,1.3295987428505243,-0.6560759214298145
599,600,1,1,0,0,1,1,0,0,0,1,1,0,0,1.3295987428505243,0.42045961788430253
600,601,1,2,1,1,0,0,0,1,1,0,0,1,0,-0.3926006863479967,-0.14550385012930164
603,604,0,0,0,1,0,0,0,1,0,1,0,0,1,0.9851588570108202,-0.5038498038754023
604,605,1,0,0,1,0,1,0,0,0,1,1,0,0,0.36516706249935255,-0.15401338465097683
605,606,0,1,0,1,0,0,0,1,0,1,0,0,1,0.43405503966729336,-0.3620242285141488
606,607,0,0,0,1,0,0,0,1,0,1,0,0,1,0.020727176659648322,-0.5067657377048297
607,608,1,0,0,1,0,0,0,1,0,1,1,0,0,-0.1859367548441742,-0.0793185816273833
608,609,1,1,2,1,0,1,0,0,1,0,0,1,0,-0.5303766406838785,0.13018994031160347
609,610,1,0,0,0,1,0,0,1,1,0,1,0,0,0.7096069483390568,2.245911726420369
610,611,0,1,5,1,0,0,0,1,1,0,0,0,1,0.6407189711711159,-0.06466327217338712
614,615,0,0,0,1,0,0,0,1,0,1,0,0,1,0.36516706249935255,-0.5038498038754023
615,616,1,1,2,1,0,0,0,1,1,0,0,1,0,-0.3926006863479967,0.5730790650343832
616,617,0,1,1,1,0,0,0,1,0,1,0,0,1,0.2962790853314117,-0.38377081673620766
617,618,0,1,0,1,0,0,0,1,1,0,0,0,1,-0.25482473201211503,-0.35162368632099017
618,619,1,2,1,0,1,0,0,1,1,0,0,1,0,-1.7703602297068137,0.08141707044870411
619,620,0,0,0,1,0,0,0,1,0,1,0,1,0,-0.25482473201211503,-0.4575201159240595
620,621,0,1,0,1,0,1,0,0,0,1,0,0,1,-0.1859367548441742,-0.3827458905782637
621,622,1,1,0,0,1,0,0,1,0,1,1,0,0,0.8473829026749384,0.33772803225690456
622,623,1,1,1,1,0,1,0,0,0,1,0,0,1,-0.6681525950197601,-0.3583991668079151
623,624,0,0,0,1,0,0,0,1,0,1,0,0,1,-0.5992646178518193,-0.5075523968961668
624,625,0,0,0,1,0,0,0,1,0,1,0,0,1,-0.5992646178518193,-0.35162368632099017
625,626,0,0,0,0,1,0,0,1,0,1,1,0,0,2.1562544688658143,-0.04488711394501392
626,627,0,0,0,1,0,0,1,0,0,1,0,1,0,1.880702560194051,-0.4225364740016169
627,628,1,0,0,0,1,0,0,1,1,0,1,0,0,-0.5992646178518193,0.818121512128214
628,629,0,0,0,1,0,0,0,1,0,1,0,0,1,-0.25482473201211503,-0.5067657377048297
630,631,1,0,0,0,1,0,0,1,0,1,1,0,0,3.4651260350566906,-0.0887736199848002
631,632,0,0,0,1,0,0,0,1,0,1,0,0,1,1.4673746971864061,-0.5226804582680339
632,633,1,0,0,0,1,1,0,0,0,1,1,0,0,0.15850313099553,-0.0793185816273833
634,635,0,3,2,1,0,0,0,1,1,0,0,0,1,-1.4259203438671093,-0.12848478108595124
635,636,1,0,0,1,0,0,0,1,1,0,0,1,0,-0.11704877767623337,-0.410244924136975
636,637,0,0,0,1,0,0,0,1,0,1,0,0,1,0.15850313099553,-0.5062135634647565
637,638,0,1,1,1,0,0,0,1,0,1,0,1,0,0.08961515382758917,-0.159686407665427
638,639,0,0,5,1,0,0,0,1,1,0,0,0,1,0.7784949255069976,0.09441774819015235
640,641,0,0,0,1,0,0,0,1,0,1,0,0,1,-0.6681525950197601,-0.5075523968961668
641,642,1,0,0,0,1,1,0,0,1,0,1,0,0,-0.3926006863479967,0.6543923949081686
642,643,0,3,2,1,0,0,0,1,1,0,0,0,1,-1.9081361840426954,-0.12848478108595124
644,645,1,2,1,1,0,1,0,0,1,0,0,0,1,-1.9942461555026214,-0.29189999103253056
645,646,1,1,0,0,1,1,0,0,0,1,1,0,0,1.2607107656825836,0.794879136838012
646,647,0,0,0,1,0,0,0,1,0,1,0,0,1,-0.7370405721877009,-0.5067657377048297
647,648,1,0,0,0,1,1,0,0,0,1,1,0,0,1.8118145830261103,0.015231801946785766
649,650,1,0,0,1,0,0,0,1,1,0,0,0,1,-0.4614886635159376,-0.5133048422328192
651,652,1,0,1,1,0,0,0,1,1,0,0,1,0,-0.8059285493556418,-0.22114415698863688
652,653,0,0,0,1,0,0,0,1,0,1,0,0,1,-0.5992646178518193,-0.4966015714706066
654,655,0,0,0,1,0,0,1,0,1,0,0,0,1,-0.8059285493556418,-0.5284329036046863
655,656,0,2,0,1,0,0,0,1,0,1,0,1,0,-0.3926006863479967,0.7338147171104706
657,658,0,1,1,1,0,0,1,0,1,0,0,0,1,0.15850313099553,-0.3629697323498905
658,659,0,0,0,1,0,0,0,1,0,1,0,1,0,-0.4614886635159376,-0.410244924136975
659,660,0,0,2,0,1,1,0,0,0,1,1,0,0,1.949590537361992,1.4859630184429855
660,661,1,2,0,1,0,0,0,1,0,1,1,0,0,1.3984867200184652,1.8712558315077246
661,662,0,0,0,1,0,1,0,0,0,1,0,0,1,0.7096069483390568,-0.5194506171651402
662,663,0,0,0,0,1,0,0,1,0,1,1,0,0,1.1918227885146426,-0.17221433348900442
663,664,0,0,0,1,0,0,0,1,0,1,0,0,1,0.43405503966729336,-0.5143297683907633
664,665,1,1,0,1,0,0,0,1,0,1,0,0,1,-0.6681525950197601,-0.5062135634647565
665,666,0,2,0,1,0,0,0,1,0,1,0,1,0,0.15850313099553,0.7338147171104706
666,667,0,0,0,1,0,0,0,1,0,1,0,1,0,-0.3237127091800559,-0.410244924136975
668,669,0,0,0,1,0,0,0,1,0,1,0,0,1,0.9162708798428792,-0.5038498038754023
670,671,1,1,1,1,0,0,0,1,1,0,0,1,0,0.7096069483390568,0.08141707044870411
671,672,0,1,0,0,1,0,0,1,0,1,1,0,0,0.08961515382758917,0.32724806774154364
672,673,0,0,0,1,0,0,0,1,0,1,0,1,0,2.776246263377282,-0.4575201159240595
673,674,1,0,0,1,0,0,0,1,0,1,0,1,0,0.08961515382758917,-0.410244924136975
675,676,0,0,0,1,0,0,0,1,0,1,0,0,1,-0.8059285493556418,-0.5090500749719817
676,677,0,0,0,1,0,0,0,1,0,1,0,0,1,-0.3581566977640263,-0.5038498038754023
677,678,1,0,0,1,0,0,0,1,1,0,0,0,1,-0.8059285493556418,-0.4699686194254346
678,679,0,1,6,1,0,0,0,1,1,0,0,0,1,0.9162708798428792,0.2308066764958912
679,680,1,0,1,0,1,1,0,0,0,1,1,0,0,0.43405503966729336,9.03210855381962
681,682,1,0,0,0,1,1,0,0,0,1,1,0,0,-0.1859367548441742,0.794879136838012
682,683,0,0,0,1,0,0,0,1,0,1,0,0,1,-0.6681525950197601,-0.48163046373547264
683,684,0,5,2,1,0,0,0,1,0,1,0,0,1,-1.0814804580274051,0.2308066764958912
684,685,0,1,1,1,0,0,0,1,0,1,0,1,0,2.087366491697874,0.08141707044870411
685,686,0,1,2,1,0,1,0,0,0,1,0,1,0,-0.3237127091800559,0.13018994031160347
686,687,0,4,1,1,0,0,0,1,0,1,0,0,1,-1.0814804580274051,0.09441774819015235
687,688,0,0,0,1,0,0,0,1,0,1,0,0,1,-0.7370405721877009,-0.4637453131785828
688,689,0,0,0,1,0,0,0,1,0,1,0,0,1,-0.8059285493556418,-0.5086567453763131
689,690,1,0,1,0,1,0,0,1,1,0,1,0,0,-1.0125924808594644,3.340332416291376
690,691,1,1,0,0,1,0,0,1,0,1,1,0,0,0.08961515382758917,0.4217984513157127
691,692,1,0,1,1,0,1,0,0,1,0,0,0,1,-1.7703602297068137,-0.40236509516990376
693,694,0,0,0,1,0,1,0,0,0,1,0,0,1,-0.3237127091800559,-0.5194506171651402
694,695,0,0,0,1,0,0,0,1,0,1,1,0,0,2.087366491697874,-0.15401338465097683
695,696,0,0,0,1,0,0,0,1,0,1,0,1,0,1.5362626743543468,-0.4007898857795581
696,697,0,0,0,1,0,0,0,1,0,1,0,0,1,0.9851588570108202,-0.5038498038754023
698,699,0,1,1,0,1,1,0,0,0,1,1,0,0,1.3295987428505243,1.4407357879641176
699,700,0,0,0,0,1,0,0,1,0,1,0,0,1,0.8473829026749384,-0.5114138345613359
700,701,1,1,0,0,1,1,0,0,1,0,1,0,0,-0.8059285493556418,3.6464392831127483
701,702,1,0,0,0,1,0,0,1,0,1,1,0,0,0.36516706249935255,-0.1589772797886207
702,703,0,0,1,1,0,1,0,0,1,0,0,0,1,-0.8059285493556418,-0.3827458905782637
703,704,0,0,0,1,0,0,1,0,0,1,0,0,1,-0.3237127091800559,-0.5096797805265856
704,705,0,1,0,1,0,0,0,1,0,1,0,0,1,-0.25482473201211503,-0.5075523968961668
705,706,0,0,0,1,0,0,0,1,0,1,0,1,0,0.6407189711711159,-0.16441392684413544
706,707,1,0,0,1,0,0,0,1,1,0,0,1,0,1.054046834178761,-0.4007898857795581
707,708,1,0,0,0,1,0,0,1,0,1,1,0,0,0.8473829026749384,-0.1589772797886207
708,709,1,0,0,1,0,0,0,1,1,0,1,0,0,-0.5303766406838785,2.20974620470325
